Year,Age,Population,DeathCount,Rate
2011,<13,52921253,908,1.7
2011,13-19,29917216,3033,10.1
2011,20-34,63965818,9633,15.1
2011,35-69,136306915,14782,10.8
2011,70+,28472279,4071,14.3
2012,<13,52855061,958,1.8
2012,13-19,29646417,2837,9.6
2012,20-34,64900433,10210,15.7
2012,35-69,137323658,15614,11.4
2012,70+,29152093,4113,14.1
2013,<13,52719631,940,1.8
2013,13-19,29551607,2543,8.6
2013,20-34,65681251,9908,15.1
2013,35-69,138067096,15298,11.1
2013,70+,30040362,4150,13.8
2014,<13,52676380,875,1.7
2014,13-19,29462818,2630,8.9
2014,20-34,66367803,9879,14.9
2014,35-69,139015319,15073,10.8
2014,70+,30864009,4206,13.6
2015,<13,52764080,946,1.8
2015,13-19,29356330,2747,9.4
2015,20-34,66762737,10608,15.9
2015,35-69,140231069,16677,11.9
2015,70+,31624778,4427,14.0
2016,<13,52811215,1033,2.0
2016,13-19,29350222,2837,9.7
2016,20-34,67142780,11368,16.9
2016,35-69,141361052,17601,12.5
2016,70+,32406486,4848,15.0
2017,<13,52726410,949,1.8
2017,13-19,29387954,2762,9.4
2017,20-34,67381469,10932,16.2
2017,35-69,141662252,17670,12.5
2017,70+,33964043,5037,14.8
2018,<13,52553599,890,1.7
2018,13-19,29402794,2496,8.5
2018,20-34,67504170,10761,15.9
2018,35-69,142087330,17585,12.4
2018,70+,35290306,5026,14.2
2019,<13,52266740,855,1.6
2019,13-19,29412828,2394,8.1
2019,20-34,67647658,10259,15.2
2019,35-69,142410359,17558,12.3
2019,70+,36592368,5232,14.3
2020,<13,51887147,845,1.6
2020,13-19,29367208,2738,9.3
2020,20-34,67664401,11857,17.5
2020,35-69,142779669,18642,13.1
2020,70+,37785698,4570,12.1
